Car_Name,Model_Year,Owner_Type,Kilometers_Driven,Fuel_Type,Transmission,Price_INR,Engine_Capacity_cc,Power_BHP,Top_Speed_kmph,Battery_Capacity_kWh,State,City
Maruti Suzuki Swift,2024,First,8000,Petrol,Manual,650000,1197,89,160,0,Maharashtra,Mumbai / Pune
Hyundai Creta,2022,First,25000,Diesel,Automatic,1250000,1493,113,170,0,Delhi,Delhi NCR
Tata Nexon,2025,First,4000,Petrol,Automatic,1050000,1199,118,180,0,Karnataka,Bangalore
Toyota Fortuner,2021,Second,55000,Diesel,Automatic,2850000,2755,201,190,0,Telangana,Hyderabad
Mahindra Thar,2023,First,18000,Diesel,Manual,1350000,2184,130,155,0,Tamil Nadu,Chennai
Honda City,2018,Second,65000,Petrol,Manual,550000,1498,119,180,0,Maharashtra,Mumbai / Pune
Kia Seltos,2020,First,45000,Petrol,Automatic,950000,1493,113,170,0,Delhi,Delhi NCR
Maruti Suzuki Baleno,2019,Second,58000,Petrol,Manual,450000,1197,89,160,0,Karnataka,Bangalore
BMW 3 Series,2022,First,22000,Diesel,Automatic,4200000,1998,258,250,0,Gujarat,Ahmedabad
Mercedes-Benz C-Class,2021,First,28000,Petrol,Automatic,4500000,1993,201,240,0,Maharashtra,Mumbai / Pune
Audi A6,2017,Second,72000,Diesel,Automatic,1800000,1984,241,250,0,Delhi,Delhi NCR
Volkswagen Polo,2016,Third,85000,Petrol,Manual,280000,999,109,180,0,Karnataka,Bangalore
Skoda Octavia,2020,First,42000,Petrol,Automatic,1400000,1984,187,240,0,Tamil Nadu,Chennai
Ford Endeavour,2019,Second,68000,Diesel,Automatic,2200000,1996,167,165,0,Maharashtra,Mumbai / Pune
Tata Harrier,2022,First,30000,Diesel,Manual,1450000,1956,167,180,0,Delhi,Delhi NCR
Hyundai i20,2024,First,12000,Petrol,Manual,780000,1197,82,160,0,Karnataka,Bangalore
Mahindra XUV700,2023,First,15000,Diesel,Automatic,1850000,2198,182,195,0,Telangana,Hyderabad
Toyota Innova Crysta,2018,Second,95000,Diesel,Manual,1250000,2393,148,175,0,Maharashtra,Mumbai / Pune
Honda Amaze,2021,First,35000,Petrol,Manual,580000,1199,88,160,0,Delhi,Delhi NCR
Renault Duster,2015,Third,110000,Diesel,Manual,320000,1498,104,165,0,Karnataka,Bangalore
Jeep Compass,2019,Second,60000,Diesel,Automatic,1150000,1956,167,185,0,Gujarat,Ahmedabad
